name,highway,id
1-я Поперечная улица,residential,25762136
4-я Поперечная улица,residential,25893233
5-я Поперечная улица,residential,25893820
Газовая улица,residential,25994239
Братская улица,residential,26232451
Поперечная улица,tertiary,26308098
Краснопрудский переулок,residential,26315412
Газовая улица,tertiary,26471516
улица Громова,residential,26546431
улица Брагина,unclassified,26983283
Дивенская улица,residential,27044691
набережная реки Карповки,tertiary,27239567
набережная реки Карповки,tertiary,27239590
набережная реки Карповки,tertiary,27239591
Малый проспект П.С.,residential,27276903
Кантемировская улица,primary,27285291
Кантемировская улица,primary,27285292
Кантемировская улица,primary,27295112
Кантемировская улица,primary,27295115
проспект Стачек,primary,27299196
улица Профессора Попова,tertiary,27309127
набережная реки Карповки,tertiary,27309293
улица Фаворского,residential,27335044
Комендантский проспект,residential,27341337
проспект Косыгина,secondary,27366900
Институтский проспект,tertiary,27422398
Институтский проспект,tertiary,27422399
Петергофское шоссе,tertiary,27429197
Левашовский проспект,tertiary,27451004
площадь Льва Толстого,primary_link,27451069
Дворцовая улица,unclassified,27543848
Кемский переулок,residential,27553836
Садовая улица,secondary,27634220
Никольский мост,secondary,27690381
Красная улица,secondary,27690382
Капсюльное шоссе,residential,27691093
Тверской мост,tertiary,27695068
бульвар Свободы,secondary,27695796
проспект Ленина,secondary,27695799
Адмиралтейский мост,tertiary,27695800
Вознесенское шоссе,tertiary,27695812
Водопадная улица,residential,27695814
Сапёрный переулок,unclassified,27696061
Береговая улица,residential,27696070
улица Труда,secondary,27696076
Садовая улица,tertiary,27696082
Станционная улица,tertiary,27696083
Московская улица,residential,27701521
Садовая улица,residential,27731701
Садовая улица,secondary,27732705
Казачий мост,secondary,27755517
улица Черняховского,secondary,27755519
Лиговский проспект,primary,27755524
Парковая улица,unclassified,27803843
Горная улица,residential,27803867
Графская дорога,unclassified,27803872
Поповский мост,unclassified,27804017
Графская дорога,residential,27804021
Цитадельская дорога,tertiary,27880674
Цитадельское шоссе,tertiary,27880675
Рябовское шоссе,secondary,27908904
Уфимская улица,residential,27918631
Колобановская улица,tertiary,28165463
Витебский проспект,primary,28198966
Берёзовая улица,residential,28207935
Новосельковская улица,residential,28208222
улица Гидротехников,tertiary,28258238
Кронверкская набережная,secondary,28327627
Адмиралтейский проезд,residential,28328223
Университетская набережная,primary,28329434
набережная Макарова,secondary,28329435
Прибалтийская площадь,tertiary,28483569
улица Мира,residential,28497480
Детский переулок,residential,28500117
Овражная улица,residential,28500139
Круглая улица,residential,28500160
Речной переулок,residential,28500379
Кузнечный переулок,residential,28500419
Путейская улица,residential,28500551
Фабричная улица,residential,28500599
Северная улица,residential,28500617
Гостиная улица,residential,28500635
Минская улица,residential,28532248
Тюрисевская улица,residential,28532257
Моховая улица,residential,28532445
1-я Лесная улица,residential,28532461
1-й Загородный переулок,residential,28532466
Комендантский проспект,residential,28532842
дорога в Угольную гавань,unclassified,28536818
Арсенальная набережная,primary,28572741
Кленовая улица,unclassified,28572752
Кленовая улица,unclassified,28572754
площадь Старого Театра,residential,28695632
Казарменный переулок,residential,28757261
переулок Ногина,residential,28822256
Литейный проспект,primary,28878119
Литейный проспект,primary,28878139
улица Чайковского,tertiary,28878161
Дачный путепровод,primary,28934691
Афонская улица,tertiary,28980817
Малая Десятинная улица,residential,28980818
Предпортовая улица,secondary,29018819
улица Самойловой,tertiary,29023732
Малый проспект В.О.,secondary,29043983
Антоновская улица,residential,29072397
проспект Энергетиков,tertiary,29072798
Афонская улица,tertiary,29101666
Витебский проспект,primary,29239818
Воздухоплавательная улица,primary,29239827
Пулковская улица,residential,29360853
Аптекарский мост,tertiary,29986234
набережная Обводного канала,secondary,30023741
улица Типанова,primary_link,30252591
Приморское шоссе,trunk,30446936
Ольгинская дорога,residential,30447490
улица Савушкина,secondary,30480108
Туристская улица,residential,30483732
набережная реки Карповки,tertiary,30639530
улица Орбели,residential,30674437
Моравский переулок,residential,30695628
мост Красного Курсанта,tertiary,30741938
Петровский переулок,residential,30742084
Ушаковский путепровод,primary,30746571
Ушаковский путепровод,primary,30746572
Омская улица,residential,30785891
Омская улица,residential,30785894
улица Корякова,residential,30798823
Славянская набережная,unclassified,30798829
Литейный проспект,primary,30893576
Литейный проспект,primary,30893577
Литейный проспект,primary,30893629
Литейный проспект,primary,30893728
площадь Калинина,secondary,30974636
Банный переулок,living_street,30975725
2-й Лаврский мост,unclassified,30976099
Комендантский проспект,residential,31135579
улица Есенина,tertiary,31364751
Богатырский проспект,secondary,31364801
Учительская улица,residential,31364802
Кантемировская улица,primary,31364874
10-11-я линии В.О.,residential,31364918
Кронверкский проспект,secondary,31364941
улица Ольминского,residential,31364984
Малая Канонерская улица,residential,31365013
Шкиперский проток,tertiary,31365045
Рябовское шоссе,secondary,31365068
Байконурская улица,tertiary,31365093
Бухарестская улица,secondary,31365102
Университетская набережная,primary,31365137
проспект Обуховской Обороны,primary,31365139
улица Маяковского,residential,31365188
улица Савушкина,secondary,31365201
Левашовский проспект,tertiary,31365207
проспект Шаумяна,tertiary,31365254
проспект Стачек,primary,31365270
Грузинская улица,unclassified,31365272
Клинский проспект,residential,31365273
улица Отважных,residential,31365281
Заречная улица,tertiary,31365289
Дворцовая улица,secondary,31365321
Софийская улица,secondary,31365335
Гражданский проспект,secondary,31365359
Демонстрационный проезд,residential,31365373
улица Блохина,residential,31365393
Воронежская улица,residential,31365401
Приморское шоссе,primary,31365404
Канареечная улица,residential,31365407
улица Льва Толстого,tertiary,31365431
Учебный переулок,residential,31365462
проспект Наставников,secondary,31365596
Карташихина улица,residential,31365600
Верхняя улица,tertiary,31365622
улица Аммермана,tertiary,31365629
Херсонская улица,tertiary,31365634
Ржевская улица,secondary,31365652
Комендантская площадь,residential,31365661
Благодатная улица,secondary,31365671
Кубинская улица,primary,31365690
Школьная улица,tertiary,31365730
Витебский проспект,primary,31365804
Белоостровская улица,secondary,31365816
Таллинская улица,tertiary,31365817
Октябрьская набережная,primary,31365894
Дальневосточный проспект,tertiary,31365904
Лахтинский проспект,primary,31365913
Гангутская улица,residential,31365920
улица Велещинского,residential,31365945
Инструментальная улица,unclassified,31365983
проспект Непокорённых,primary,31366034
Приморское шоссе,trunk,31366043
Дальневосточный проспект,secondary,31366054
Лесной проспект,secondary,31366106
Английская набережная,secondary,31366110
Индустриальный проспект,primary,31366171
улица Дыбенко,secondary,31366255
Выборгская набережная,primary,31366258
Поэтический бульвар,residential,31366271
улица Стахановцев,tertiary,31366301
проспект Славы,primary,31366309
11-я Красноармейская улица,residential,31366311
проспект Просвещения,secondary,31366356
Чичуринский переулок,tertiary,31366359
Биржевая площадь,primary,31366365
улица Коли Томчака,primary,31366392
Северный переулок,secondary,31366410
Берёзовая улица,secondary,31366421
Арсенальная набережная,primary,31366429
улица Блохина,residential,31366430
Саблинская улица,residential,31366432
Петровский проспект,tertiary,31366445
Итальянская улица,residential,31366457
Александровский парк,unclassified,31366479
Академический переулок,residential,31366495
Рифеевская улица,residential,31366505
Северный проспект,secondary,31366508
Боровая улица,tertiary,31366533
Холмистая улица,residential,31366555
Миргородская улица,tertiary,31366560
Приморское шоссе,primary,31366582
Елизаветинская улица,tertiary,31366587
Софийская улица,primary,31366656
Промышленная улица,tertiary,31366681
Парковая улица,unclassified,31366703
улица Белинского,secondary,31366747
Биржевая улица,residential,31366777
проспект Энергетиков,residential,31366778
улица Чекистов,residential,31366780
Рябовское шоссе,secondary,31366784
набережная реки Мойки,secondary,31366790
Рижский проспект,tertiary,31366796
Новоколомяжский проспект,residential,31366851
Кузнецовская улица,tertiary,31366853
Софийская улица,secondary,31366908
Полевая улица,tertiary,31366923
проспект Народного Ополчения,secondary,31366944
Северный проспект,secondary,31366958
Приморское шоссе,primary,31367008
Мичуринская улица,residential,31367022
улица Смолячкова,residential,31367029
Витебский проспект,primary,31367057
2-я Поперечная улица,tertiary,31367077
Зеленогорское шоссе,primary,31367104
набережная реки Фонтанки,secondary,31367110
улица Радищева,residential,31367124
бульвар Красных Зорь,tertiary,31367179
проспект Наставников,secondary,31367226
Херсонская улица,tertiary,31367252
Светлановский проспект,secondary,31367280
набережная реки Фонтанки,secondary,31367323
улица Косинова,residential,31367358
Малая Зеленина улица,residential,31367387
улица Володарского,tertiary_link,31367398
16-17-я линии В.О.,tertiary,31367430
Канонерская улица,residential,31367437
Ропшинская улица,residential,31367485
Макулатурный проезд,unclassified,31367540
улица Электропередач,residential,31367573
Мастеровой переулок,residential,31367607
Приморское шоссе,primary,31367608
Стародеревенская улица,tertiary,31367628
улица Орджоникидзе,secondary,31367666
улица Победы,secondary,31367674
улица Вавиловых,tertiary,31367816
проспект Маршала Жукова,primary,31367821
проспект Энергетиков,primary,31367834
Магазейная улица,residential,31367839
Берёзовая улица,residential,31367875
улица Константина Заслонова,residential,31367993
